Date,Time,NewCases
08-Mar,0,0
09-Mar,1,1
10-Mar,2,4
11-Mar,3,3
12-Mar,4,2
13-Mar,5,4
14-Mar,6,4
15-Mar,7,12
16-Mar,8,10
17-Mar,9,14
18-Mar,10,16
19-Mar,11,20
20-Mar,12,35
21-Mar,13,29
22-Mar,14,32
23-Mar,15,43
24-Mar,16,49
25-Mar,17,49
26-Mar,18,29
27-Mar,19,37
28-Mar,20,37
29-Mar,21,39
30-Mar,22,43
31-Mar,23,14
01-Apr,24,18
02-Apr,25,11
03-Apr,26,17
04-Apr,27,9
05-Apr,28,5
06-Apr,29,2
07-Apr,30,6
08-Apr,31,3
09-Apr,32,5
10-Apr,33,3
11-Apr,34,2
12-Apr,35,4
13-Apr,36,2